"gene","CNTRL_1","CNTRL_2","CNTRL_3","COLCH_1","COLCH_2","COLCH_3","PACXL_1","PACXL_2","PACXL_3","VINCR_1","VINCR_2","VINCR_3"
"CFLAR",6.00893265174684,6.03090027553874,5.91747437525861,6.36218435741512,6.49902616496449,6.48662541933843,6.3191947978977,6.24016702191832,6.12584350495496,6.35969694140674,6.24321930740742,6.32320850520044
"MAP3K14",5.2072406427764,5.21263359649423,5.23336965025199,5.49384269524699,5.55541837178292,5.67066003263908,5.91003510345015,5.92785447508107,5.85116881903959,5.61592792297929,5.60966125988884,5.58978018312624
"BIRC3",3.30697667218561,3.71677276565069,3.66923908257486,5.47567351284579,5.39176869463596,5.46934556966337,6.42868079701655,6.60793689021556,6.53075610296666,5.42750811461987,5.49330571743729,5.67588435269216
"MAP2K3",6.14191247866521,6.15553233830204,6.00996772874171,6.55481328213764,6.63805144064193,6.70460086897467,6.93133489173947,6.72375886818438,6.6800157718774,6.60898581763515,6.5455370898158,6.731056210636
"TAB2",6.79189319039161,6.72191606199778,6.75224611425734,7.15510834994613,7.0945880889265,7.10212538200142,7.51829863317608,7.57606117138818,7.52004848216818,7.11905735900544,7.03441605409891,7.15851861587985
"TRAF1",1.94956377768999,1.11534896144556,0.694760059339912,4.72528753127209,4.87544885271176,4.94001511220322,5.6954350032476,5.53649371318204,5.92440203556121,4.7290006487282,4.72258015249128,4.84140071052493
"PTGS2",-0.0290157006250024,-0.40428940715501,-0.274212988258801,3.23343474308325,3.31202908452432,3.37542827526482,2.65748477893373,2.33811017983228,2.60524170861473,2.77041254934886,2.51615982580778,2.85273407487891
"ITCH",7.11429993542367,7.22148960882271,7.17653778140041,7.31100691507749,7.30941368082224,7.29375516184395,7.52860419975271,7.6248639236791,7.58382584809311,7.28943539280555,7.25717164775441,7.30428444666372
"CXCL2",1.32645580052738,1.81328530218314,0.549938494014302,4.42209176790994,4.50786737660136,4.73544329987307,4.25238825923878,4.28989750846188,3.8299294006824,4.19990215249223,4.31887236224977,4.14108893701593
"ICAM1",6.63777400063424,6.86608323809091,6.73543444722418,6.97144330422697,7.18249995435373,7.31750335403635,7.5678203980617,7.71411304733837,7.58595612128203,7.06608416953986,7.16953630304675,7.27322982214247
"NFKBIA",6.29091722919656,6.56473946912712,6.38451837841804,6.69657649487504,6.78646178164342,6.75720320705067,7.22563030136647,7.39561254898575,7.14287092234928,6.70507648392525,6.72836148059507,6.74929466264163
"MMP9",-0.976671007629262,-1.07522029206914,-0.274212988258801,0.957508940938588,1.20047470954222,0.852389987224351,1.54977056178499,1.54977056178499,1.70096627777435,0.775671287573269,0.944499007445481,0.844873503143386
"JAG1",1.94956377768999,2.17483316553608,2.02407747158046,3.57910508206882,3.81075744005158,3.30046168741938,4.56511678519169,4.2164744800095,4.51144545183191,3.43060799944245,3.35538812999866,3.64836105014619
"CREB3",5.37754788388209,5.61941703875739,5.29724942539381,6.06143381546048,6.07118562282843,6.20967811970522,6.40931646317532,6.45969332049947,6.52495561478694,6.0397735478802,6.11058189544466,6.17196486800052
"NFKB1",6.08230166037588,6.29144468884866,6.20292237591626,6.54393379486791,6.5854135751052,6.57896346024316,6.84557562045562,6.95108122101869,6.93928063639753,6.47490082438561,6.57207390140009,6.65360696745885
"BIRC2",6.63777400063424,6.67499878202944,6.52953362805047,7.38524133356087,7.42106830100472,7.26370558484676,7.30977716902856,7.44428752171951,7.24906668436668,7.25619784200309,7.30428444666372,7.23372677840554
"CCL20",-1.46814416657793,-2.12098569446079,-2.79408114392827,1.42539679135372,1.68663023944329,2.13134552360784,1.42927534018181,1.60478043873791,2.13380019429652,0.852389987224351,1.54269648698611,1.75290280056601
"TNFAIP3",3.20779328534022,3.50781122114049,2.71966709916835,5.7898224145286,5.77153027478844,6.02141582005153,6.55185596521219,6.53379876016652,6.5344384255665,5.69227218201799,5.58624654931381,5.86647838746016
"IRF1",4.42183812916499,4.55584376897984,4.71017327511055,4.88110171085424,4.86845270274722,4.98810070566613,6.02902313199057,6.06427571150799,6.08714413831341,5.14159614136188,4.8823531465879,5.17100290186023
"IL1B",0.974792054160695,0.669070340650885,-0.274212988258801,3.19935721800158,3.78625739796257,3.00500416370577,3.75089347150703,4.12454959068291,3.61130631578332,3.09465067769588,3.28847384281138,2.93438865348212
"TRAF2",5.53729768940514,5.4718448022745,5.53649371318204,5.47567351284579,5.55541837178292,5.87143359080783,5.95211128082889,5.9147161550605,5.93527511297117,5.68955392240698,5.58624654931381,5.74990770879308
